,token,count
498,voice,641
499,committee,637
500,was,633
501,main,632
502,grand,632
503,lombardo,632
504,speer,632
505,platform,631
506,wuab,631
507,noncancellable,630
508,warrant,629
509,fr,629
510,respect,629
511,chew,628
512,chris,624
513,rachael,623
514,payable,616
515,iii,615
516,channel,612
517,meet,612
518,se,612
519,division,609
520,season,608
521,consent,608
522,klas,608
523,terminate,606
524,kimmel,606
525,daytime,602
526,law,602
527,sunrise,602
528,express,597
529,related,595
530,previously,595
531,telerep,594
532,rachel,593
533,ktnv,591
534,press,590
535,kblr,590
536,kvvu,590
537,times,589
538,ktud,589
539,gmmb,587
540,slaters,586
541,implied,585
542,without,584
543,strategic,583
544,research,583
545,xm,581
546,separate,575
547,ashe,575
548,per,573
549,city,572
550,vegas,572
551,quinn,569
552,make,562
553,na,560
554,lur,556
555,joe,556
556,further,552
557,wknd,550
558,wf,548
559,york,547
560,dateline,547
561,daybreak,546
562,liability,545
563,commitment,545
564,weekly,543
565,telemundo,543
566,fees,542
567,everywhere,542
568,attorneys,541
569,acceptance,541
570,together,540
571,after,537
572,warranties,537
573,cover,536
574,nbctelemundo,535
575,nbce,535
576,nbcu,535
577,proceeding,534
578,credit,532
579,gender,525
580,premier,524
581,wjw,523
582,wbnx,522
583,wews,522
584,fallon,521
585,king,520
586,makegood,519
587,ampm,519
588,universal,516
589,massachusetts,515
590,among,515
591,disclaimed,515
592,reliance,515
593,retail,515
594,tdy,515
595,types,514
596,monthly,514
597,entered,512
598,preempted,512
599,plus,512
600,accounts,511
601,nation,511
602,sec,509
603,nov,507
604,become,506
605,kinc,505
606,mary,503
607,crossroads,503
608,lv,503
609,hearst,503
610,placement,501
611,daniel,500
612,statement,498
613,baylog,496
614,preempt,494
615,plaza,493
616,pac,492
617,johnson,492
618,ksaz,492
619,lines,489
620,morn,485
621,canal,484
622,number,483
623,agrees,483
624,dt,483
625,indemnify,481
626,dancing,481
627,campaign,479
628,pb,475
629,non,475
630,obamadpresident,473
631,claims,471
632,shown,468
633,taken,468
634,chicago,467
635,tricoli,466
636,drive,462
637,las,459
638,loc,456
639,regular,454
640,klvx,454
641,regis,453
642,kfbt,453
643,kvwb,453
644,modified,452
645,rambler,452
646,fss,450
647,impermissibly,450
648,fl,449
649,kpnx,448
650,cdr,447
651,beverly,447
652,polcand,446
653,tt,445
654,mtwt,445
655,conant,445
656,remit,444
657,up,443
658,east,442
659,amy,440
660,twt,440
661,space,439
662,woc,438
663,mike,436
664,back,435
665,anderson,430
666,et,429
667,aired,428
668,bookend,426
669,o,426
670,ncis,425
671,smart,425
672,romney,422
673,coop,421
674,charlotte,421
675,evening,421
676,pmam,416
677,soaps,414
678,ca,411
679,phonefax,410
680,floor,409
681,minutes,409
682,hollywood,408
683,aam,408
684,unit,407
685,ncaa,407
686,rep,405
687,cleveland,405
688,kmsp,403
689,concerning,403
690,talk,402
691,future,402
692,nondiscrimination,402
693,wt,401
694,piggy,401
695,west,396
696,fx,395
697,fairmount,395
698,sked,393
699,democrat,393
700,void,392
701,big,392
702,kare,391
703,yes,390
704,wdli,390
705,weao,390
706,wggn,390
707,wmfd,390
708,woac,390
709,wqhs,390
710,wviz,390
711,wvpx,390
712,ie,387
713,pr,386
714,scheduled,385
715,person,385
716,renders,385
717,reservations,385
718,claiming,385
719,sequential,385
720,priorities,385
721,great,382
722,tx,381
723,l,380
724,nationalpolitical,380
725,contracted,379
726,sc,379
727,title,377
728,appears,377
729,wjxx,375
730,acceptedstation,374
731,mfsu,374
732,activity,374
733,rotator,373
734,stars,373
735,katowitz,372
736,lf,371
737,representative,371
738,telerepphiladelphia,371
739,mundy,371
740,hr,370
741,steve,370
742,gannett,370
743,cost,369
744,indicated,369
745,acceptedagencyadvertiser,367
746,knxv,367
747,csi,366
748,court,365
749,ratings,365
750,px,365
751,ktvw,365
752,north,364
753,comment,364
754,kpho,364
755,each,363
756,kasw,363
757,kdrx,363
758,kppx,363
759,ktvk,363
760,kusk,363
761,kutp,363
762,blue,361
763,wjimmy,361
764,lt,360
765,teresa,357
766,policy,357
767,ppm,356
768,hours,353
769,wkrc,353
770,j,352
771,commercial,352
772,mnat,351
773,difuria,350
774,federal,349
775,fairfax,349
776,gmc,349
777,one,348
778,requested,348
779,wxix,346
780,mccreary,345
781,mn,344
782,now,344
783,wtlv,344
784,wstr,343
785,revised,341
786,wcpo,341
787,wbqc,341
788,wcet,341
789,wcvn,341
790,wkon,341
791,wlwt,341
792,wpto,341
793,nightlcinme,340
794,rates,338
795,dame,338
796,pregame,338
797,notre,337
798,colorado,337
799,apply,335
800,democratic,335
801,politicalagy,335
802,shorr,334
803,brady,334
804,kdvr,334
805,list,331
806,communications,331
807,productions,330
808,wjxt,330
809,np,329
810,wtev,329
811,paid,328
812,twthf,328
813,michael,327
814,send,327
815,primetime,327
816,kusa,327
817,waws,327
818,wcwj,327
819,official,325
820,bloomberg,324
821,ef,324
822,status,323
823,young,322
824,grimm,321
825,chestnut,320
826,insider,320
827,mtwthf,319
828,select,319
829,pre,318
830,castle,316
831,svu,316
832,assembly,315
833,tot,315
834,mi,313
835,advocacy,312
836,adjustments,312
837,interest,311
838,necwms,309
839,summary,308
840,union,308
841,kvmy,308
842,world,307
843,accepted,306
844,must,306
845,family,303
846,ddeleted,303
847,mtuwthf,302
848,south,302
849,clifford,302
850,buy,300
851,company,298
852,stationmarket,298
853,ask,297
854,rock,297
855,minds,297
856,acknowledgment,297
857,politicals,297
858,rcduration,297
859,margin,297
860,indicators,297
861,aadded,297
862,rrevised,297
863,mnew,297
864,cmcombined,297
865,monthyr,297
866,waterfront,296
867,los,295
868,il,294
869,criminal,294
870,blphi,294
871,wood,293
872,post,293
873,programming,292
874,rs,292
875,phone,292
876,attn,292
877,discount,290
878,bloods,289
879,intended,289
880,amer,289
881,wgal,288
882,wxyz,287
883,bradley,285
884,who,285
885,congressional,285
886,thur,285
887,mrn,284
888,mtwtfs,284
889,five,283
890,cms,283
891,mail,282
892,wtsptv,282
893,poliss,281
894,wjbk,281
895,practice,281
896,rotation,280
897,angeles,280
898,wtsp,280
899,localtv,280
900,wpvi,279
901,greys,278
902,ns,278
903,hills,278
904,confirmed,277
905,fax,277
906,h,276
907,delaware,276
908,wwwnewscom,276
909,wakeup,276
910,cia,275
911,lengthadid,275
912,kusatv,275
913,hrp,274
914,amounts,273
915,less,273
916,tank,273
917,wwj,273
918,wthf,273
919,wwagners,273
920,wkbd,272
921,you,271
922,shark,271
923,az,271
924,john,271
925,daypart,269
926,lincoln,269
927,snl,269
928,knauer,269
929,ga,268
930,added,268
931,weeklyirregular,267
932,plpresidential,267
933,wdiv,267
934,brown,265
935,magnus,265
936,sched,265
937,parties,264
938,risk,264
939,majority,264
940,fairmont,264
941,pphl,264
942,public,263
943,nwews,263
944,katz,262
945,thf,262
946,degeneres,262
947,wake,261
948,programs,260
949,headline,260
950,remarks,259
951,stagers,259
952,loop,259
953,wrc,259
954,wdwb,259
955,ecr,258
956,invoices,258
957,brd,258
958,alexandra,258
959,wadl,258
960,wpxd,258
961,their,257
962,revenge,257
963,tom,256
964,bang,256
965,ct,255
966,adid,254
967,nso,254
968,showing,252
969,chronicle,252
970,please,251
971,hereto,251
972,conway,251
973,newscm,251
974,item,251
975,lake,250
976,have,250
977,wlpc,250
978,wtvs,250
979,eleven,250
980,client,248
981,broadcasting,247
982,nebraska,247
983,americans,247
984,update,246
985,tanya,246
986,harvey,246
987,march,245
988,mwtf,245
989,men,245
990,fb,245
991,restless,244
992,created,243
993,winscott,243
994,dallas,239
995,wwwnbcwashingtoncom,239
996,associates,239
997,kaitie,239
998,february,238
999,matthews,238
1000,actn,238
1001,mtw,237
1002,gd,237
1003,applicable,236
1004,charges,236
1005,wcco,236
1006,demos,236
1007,reconciliation,235
1008,kstc,235
1009,linda,235
1010,factor,235
1011,wwacgnmers,235
1012,performance,234
1013,wftc,234
1014,hutton,234
1015,households,233
1016,based,233
1017,kmwb,233
1018,kpxm,233
1019,krwf,233
1020,ksax,233
1021,inv,232
1022,americas,232
1023,private,232
1024,abar,232
1025,references,231
1026,weekday,231
1027,grovedale,230
1028,mwf,229
1029,fire,228
1030,use,227
1031,form,227
1032,fixed,226
1033,chg,225
1034,governor,225
1035,announcement,225
1036,link,225
1037,nv,223
1038,bold,222
1039,fund,222
1040,msun,222
1041,books,222
1042,debate,221
1043,ver,221
1044,ecd,221
1045,cppe,221
1046,sentrcldrtrn,221
1047,third,220
1048,once,220
1049,restore,220
1050,add,219
1051,revolution,219
1052,music,218
1053,buylinesall,218
1054,located,215
1055,pcan,215
1056,said,214
1057,kstptv,213
1058,wpmt,213
1059,protect,212
1060,matter,211
1061,hourcm,211
1062,wpvitv,210
1063,agreements,209
1064,satsun,209
1065,ksaxtv,209
1066,mtf,208
1067,dccc,208
1068,furnished,207
1069,modern,207
1070,petry,207
1071,hawaii,206
1072,mw,206
1073,wcau,205
1074,mth,204
1075,tw,204
1076,half,204
1077,cc,204
1078,kmcc,204
1079,wzzm,204
1080,twtfs,203
1081,so,202
1082,theory,202
1083,pcm,202
1084,prosperity,202
1085,kob,202
1086,ent,202
1087,tmz,201
1088,scott,201
1089,mod,201
1090,mofr,201
1091,tonite,201
1092,can,200
1093,beautiful,200
1094,should,199
1095,ip,198
1096,call,198
1097,nd,198
1098,wife,198
1099,anjanette,198
1100,broadcasts,197
1101,grp,197
1102,would,197
1103,pphi,197
1104,section,196
1105,nrcc,196
1106,wants,196
1107,v,195
1108,loss,195
1109,boston,195
1110,allowed,195
1111,ag,194
1112,pursuant,194
1113,ttf,194
1114,melissa,194
1115,anatomy,192
1116,kmgh,192
1117,purchase,191
1118,ending,191
1119,cooper,190
1120,acting,189
1121,talent,189
1122,gmts,189
1123,kmbc,189
1124,ricki,189
1125,production,188
1126,sinclair,188
1127,afhv,188
1128,mentalist,188
1129,srcp,187
1130,viking,187
1131,accordance,186
1132,delivered,186
1133,shw,186
1134,ftbl,186
1135,hcrm,186
1136,wagners,186
1137,behalf,185
1138,go,185
1139,parenthood,185
1140,quality,184
1141,follows,184
1142,starting,184
1143,iscandidatepresidential,184
1144,elevencm,184
1145,authorized,183
1146,bob,183
1147,series,183
1148,hollywoodpp,183
1149,balance,182
1150,gps,182
1151,edge,182
1152,eaws,182
1153,etev,182
1154,reason,181
1155,mlb,181
1156,showpa,181
1157,condition,180
1158,dollars,180
1159,twtfss,180
1160,lancaster,180
1161,fcn,180
1162,ad,179
1163,wcnc,179
1164,presidential,179
1165,twf,179
1166,connection,178
1167,hold,178
1168,owned,178
1169,actually,177
1170,crimetime,177
1171,atlanta,176
1172,document,176
1173,saturdcamy,176
1174,approved,175
1175,results,175
1176,sua,175
1177,mblm,174
1178,con,174
1179,whp,174
1180,ballot,174
1181,shwnbc,174
1182,planning,174
1183,mosu,174
1184,current,173
1185,minute,173
1186,payments,173
1187,possible,173
1188,commissions,173
1189,khdf,173
1190,ate,172
1191,ph,172
1192,advertisers,172
1193,kelv,172
1194,jpcallahan,172
1195,act,171
1196,event,171
1197,reasonable,171
1198,pmmf,171
1199,clark,171
1200,card,169
1201,than,169
1202,contains,169
1203,nh,169
1204,fooctmball,169
1205,result,168
1206,god,168
1207,eyewitness,168
1208,nj,168
1209,msa,168
1210,leno,168
1211,placing,167
1212,certify,167
1213,updated,167
1214,wusa,167
1215,redskins,167
1216,fringe,166
1217,necessary,166
1218,duration,166
1219,pgm,166
1220,tuwthf,166
1221,elections,166
1222,random,166
1223,brad,166
1224,people,166
1225,eden,166
1226,prairie,166
1227,wwwmyfoxtwincitiescom,166
1228,certifies,165
1229,there,165
1230,damages,165
1231,zeligson,165
1232,harmless,164
1233,against,164
1234,friends,164
1235,yr,164
1236,pph,164
1237,wjxxtv,164
1238,saturcdmay,164
1239,paragraphs,163
1240,soap,163
1241,wks,163
1242,miami,163
1243,nite,163
1244,al,162
1245,pres,162
1246,deemed,162
1247,acmm,162
1248,cannot,161
1249,wbtv,161
1250,xx,161
1251,ehp,161
1252,these,160
1253,election,160
1254,bala,160
1255,cynwyd,160
1256,noonp,160
1257,rights,159
1258,iscandidateus,159
1259,wttg,159
1260,wlyh,159
1261,verbal,158
1262,control,158
1263,duplicate,158
1264,target,158
1265,plc,158
1266,agenda,158
1267,phoenix,157
1268,ofa,157
1269,kiml,157
1270,bones,157
1271,approval,156
1272,according,156
1273,whtm,156
1274,addition,155
1275,where,155
1276,noncommissionable,155
1277,reverse,155
1278,en,155
1279,funniest,155
1280,wcvb,155
1281,needham,155
1282,integral,154
1283,columbia,154
1284,smith,154
1285,had,153
1286,video,153
1287,cancel,153
1288,covered,153
1289,makegoods,153
1290,int,153
1291,agytrans,153
1292,wwwthebostonchannelcom,153
1293,tarka,153
1294,reserves,152
1295,costs,152
1296,january,152
1297,feud,152
1298,kmghca,152
1299,acc,152
1300,changes,151
1301,discretion,151
1302,incurred,151
1303,breach,151
1304,thereof,151
1305,failure,151
1306,benefit,151
1307,substitute,151
1308,sole,151
1309,regulations,151
1310,jeff,151
1311,mark,151
1312,cma,151
1313,browns,151
1314,monument,151
1315,wwwnbcphiladelphiacom,151
1316,below,150
1317,into,150
1318,reject,150
1319,giving,150
1320,entire,150
1321,abq,150
1322,wotv,150
1323,prgm,150
1324,wccb,150
1325,similar,149
1326,force,149
1327,united,149
1328,none,149
1329,later,148
1330,agree,148
1331,during,148
1332,practices,148
1333,given,148
1334,med,148
1335,off,148
1336,z,147
1337,purchased,147
1338,reasonably,147
1339,mechanical,147
1340,construed,147
1341,signed,147
1342,eff,147
1343,point,147
1344,wmur,147
1345,equal,146
1346,waiver,146
1347,hereof,146
1348,kstp,146
1349,receive,146
1350,la,146
1351,wxmi,146
1352,manchester,146
1353,wwwthewmurchannelcom,146
1354,magay,146
1355,williams,145
1356,satisfactory,145
1357,laws,145
1358,wth,145
1359,enterprises,145
1360,dwts,145
1361,abcs,145
1362,facetofaceralston,145
1363,expenses,144
1364,policies,144
1365,level,144
1366,whptv,144
1367,bb,143
1368,nascar,143
1369,content,143
1370,then,143
1371,majeure,143
1372,delayed,143
1373,pms,143
1374,wtvt,143
1375,q,142
1376,portion,142
1377,beyond,142
1378,wwmt,142
1379,justin,142
1380,eyeopener,142
1381,sundacym,142
1382,nightside,142
1383,eg,141
1384,return,141
1385,notify,141
1386,wk,141
1387,acct,141
1388,tues,141
1389,exix,141
1390,govern,140
1391,foregoing,140
1392,pro,140
1393,cr,140
1394,burns,140
1395,amt,140
1396,americacm,140
1397,mfkmghca,140
1398,pcc,140
1399,represent,139
1400,julian,139
1401,rapids,139
1402,mtu,139
1403,wxsp,139
1404,wzpx,139
1405,wvec,139
1406,newskmgh,139
1407,park,138
1408,kvcw,138
1409,digital,137
1410,seal,137
1411,issuespropositions,137
1412,pmp,137
1413,dclocal,137
1414,wvit,137
1415,afternoon,136
1416,timely,136
1417,labor,136
1418,announcements,136
1419,chason,136
1420,terminated,135
1421,final,135
1422,sen,135
1423,association,135
1424,bachelor,135
1425,adams,135
1426,mystery,135
1427,wwwmyfoxdccom,135
1428,mcfa,135
1429,jeopwheel,135
1430,exercise,134
1431,airing,134
1432,contain,134
1433,nashville,134
1434,mfp,134
1435,votta,134
1436,amrabc,134
1437,used,133
1438,cause,133
1439,acm,133
1440,dscc,133
1441,cup,133
1442,barack,133
1443,wavy,133
1444,being,132
1445,impaired,132
1446,preemption,132
1447,wwwthewgalchannelcom,132
1448,couric,132
1449,anjie,132
1450,blend,132
1451,version,131
1452,rebate,131
1453,exceed,131
1454,principal,131
1455,damage,131
1456,indemnification,131
1457,pls,131
1458,krqe,131
1459,advertiserobama,131
1460,radio,130
1461,imposed,130
1462,omitted,130
1463,disclosed,130
1464,continuing,130
1465,system,130
1466,paragraph,130
1467,deems,130
1468,ventura,130
1469,buyline,130
1470,tdc,130
1471,ktvd,130
1472,additional,129
1473,charge,129
1474,same,129
1475,parent,129
1476,discounts,129
1477,hl,129
1478,daly,129
1479,keuleman,129
1480,states,128
1481,candidates,128
1482,pmf,128
1483,check,128
1484,approximate,128
1485,earned,128
1486,preemptions,128
1487,significance,128
1488,bk,128
1489,aug,128
1490,mttf,128
1491,pmt,127
1492,dur,127
1493,repcomrt,127
1494,obtaining,126
1495,ten,126
1496,zone,126
1497,governed,126
1498,lo,126
1499,footballnfl,126
1500,scandal,126
1501,thurs,126
1502,collectively,125
1503,were,125
1504,terminates,125
1505,complete,125
1506,wvbt,125
1507,casey,125
1508,entity,124
1509,adjustment,124
1510,newsnews,124
1511,telerepwashington,124
1512,koat,124
1513,preseason,124
1514,hh,123
1515,over,123
1516,individuals,123
1517,pmm,123
1518,sundays,123
1519,sw,123
1520,newscenter,123
1521,crime,123
1522,startdate,122
1523,davis,122
1524,signal,122
1525,seconds,122
1526,single,122
1527,holidays,122
1528,columbus,122
1529,elementary,122
1530,kluz,122
1531,kobr,122
1532,mp,122
1533,kawb,122
1534,kawe,122
1535,kcco,122
1536,kccw,122
1537,kftc,122
1538,ktca,122
1539,ktci,122
1540,kwcm,122
1541,mwt,122
1542,regard,121
1543,kind,121
1544,ams,121
1545,mc,121
1546,kapx,121
1547,kasa,121
1548,kasy,121
1549,kazq,121
1550,kbei,121
1551,kbim,121
1552,kchf,121
1553,kenw,121
1554,khft,121
1555,kkto,121
1556,knat,121
1557,knme,121
1558,kobf,121
1559,koct,121
1560,koft,121
1561,kovt,121
1562,krez,121
1563,krpv,121
1564,kupt,121
1565,kwbq,121
1566,cf,121
1567,probst,121
1568,wkndp,121
1569,own,120
1570,awards,120
1571,aacm,120
1572,newsca,120
1573,pissue,120
1574,jacalyn,120
1575,palmiotto,120
1576,oversold,119
1577,more,119
1578,purposes,119
1579,mobile,119
1580,broke,119
1581,intend,119
1582,emergency,119
1583,understanding,119
1584,enforce,119
1585,copyisci,119
1586,extended,119
1587,nr,119
1588,kywtv,119
1589,wendy,118
1590,estimated,118
1591,ordr,118
1592,buylines,118
1593,electronic,118
1594,affecting,118
1595,before,118
1596,satp,118
1597,dma,118
1598,eligible,118
1599,mrbpbkeh,117
1600,promptly,117
1601,twin,117
1602,nab,117
1603,cities,117
1604,kctv,117
1605,kcwe,117
1606,self,117
1607,bm,117
1608,nielsen,116
1609,pam,116
1610,kshbtv,116
1611,kcpt,116
1612,kmci,116
1613,kpxe,116
1614,ksmo,116
1615,wdaf,116
1616,kshb,116
1617,showjay,116
1618,lenocm,116
1619,kmghaa,116
1620,wagncerms,116
1621,fbd,116
1622,lbd,116
1623,catg,116
1624,quantity,116
1625,installments,116
1626,ancillary,116
1627,transaction,115
1628,nothing,115
1629,sum,115
1630,contrary,115
1631,nonormal,115
1632,kansas,115
1633,boulevard,115
1634,pmsa,115
1635,abcgood,115
1636,agencytcode,115
1637,newcsa,115
1638,everyday,115
1639,sold,114
1640,directors,114
1641,httpsbginetp,114
1642,liquidated,114
1643,anything,114
1644,cooporder,114
1645,message,114
1646,ac,114
1647,ppcm,114
1648,newsam,114
1649,jralston,114
1650,weekkday,114
1651,effect,113
1652,multiple,113
1653,agm,113
1654,jeopardywheel,113
1655,aaa,113
1656,tuf,113
1657,mfkmgh,113
1658,survivor,112
1659,authority,112
1660,fooctbmall,112
1661,catv,112
1662,judyp,112
1663,wtvz,112
1664,enddate,111
1665,partners,111
1666,supplied,111
1667,pmw,111
1668,qtr,111
1669,unresolved,111
1670,pad,111
1671,golf,111
1672,ckmiml,111
1673,nflws,111
1674,wgnt,111
1675,whro,111
1676,wpen,111
1677,wpxv,111
1678,wtkr,111
1679,neither,110
1680,defend,110
1681,sell,110
1682,avail,110
1683,katzwashington,109
1684,officers,109
1685,relinquishment,109
1686,null,109
1687,csmun,109
1688,collection,108
1689,interruption,108
1690,however,108
1691,cabl,108
1692,randon,108
1693,cpp,107
1694,data,107
1695,email,107
1696,also,107
1697,copyright,107
1698,process,107
1699,legal,107
1700,polissue,107
1701,washingtoneagle,107
1702,ralston,107
1703,cmp,107
1704,me,106
1705,april,106
1706,url,106
1707,ps,106
1708,ot,106
1709,ryan,106
1710,austin,106
1711,locust,106
1712,ohio,106
1713,reviewed,105
1714,advertisement,105
1715,wfmytv,105
1716,wfmy,105
1717,met,105
1718,pli,105
1719,attachments,105
